file,current,peak_time,time_to_first_spike,time_to_second_spike,time_to_last_spike,inv_first_ISI,inv_second_ISI,inv_third_ISI,inv_fourth_ISI,inv_fifth_ISI,inv_last_ISI,ISI_log_slope,ISI_CV,adaptation_index,spike_count_stimint,mean_frequency
GrCWT_inj8.0.txt,8.0,,,,,,,,,,,,,,[0],
GrCWT_inj10.0.txt,10.0,"[121.  157.6 194.5 231.9 269.7 307.8 346.2 384.8 423.8 462.9 502.4 542.1
 582.1]",[21.],[57.6],[482.1],[27.32240437],[27.100271],[26.73796791],[26.45502646],[26.24671916],[25.],[0.03342308],[0.02545413],[0.00403336],[13],[26.96535988]
GrCWT_inj16.0.txt,16.0,"[107.2 122.6 138.1 153.6 169.2 184.8 200.6 216.4 232.2 248.1 264.  280.
 296.  312.  328.  344.1 360.2 376.3 392.5 408.7 424.9 441.1 457.4 473.7
 490.1 506.5 522.9 539.4 555.9 572.5 589.1]",[7.2],[22.6],[489.1],[64.93506494],[64.51612903],[64.51612903],[64.1025641],[64.1025641],[60.24096386],[0.02210901],[0.01970909],[0.00126967],[31],[63.38172153]
GrCWT_inj-2.0.txt,-2.0,,,,,,,,,,,,,,[0],
GrCWT_inj2.0.txt,2.0,,,,,,,,,,,,,,[0],
GrCWT_inj6.0.txt,6.0,,,,,,,,,,,,,,[0],
GrCWT_inj-6.0.txt,-6.0,,,,,,,,,,,,,,[0],
GrCWT_inj12.0.txt,12.0,"[112.3 135.8 159.3 182.9 206.7 230.6 254.5 278.6 302.8 327.1 351.4 375.8
 400.3 424.8 449.4 474.1 498.9 523.7 548.7 573.7 598.9]",[12.3],[35.8],[498.9],[42.55319149],[42.55319149],[42.37288136],[42.01680672],[41.84100418],[39.68253968],[0.02368705],[0.01999881],[0.00192933],[21],[42.09260373]
GrCWT_inj-4.0.txt,-4.0,,,,,,,,,,,,,,[0],
GrCWT_inj20.0.txt,20.0,"[105.3 117.1 129.1 141.1 153.1 165.3 177.5 189.8 202.1 214.4 226.8 239.3
 251.7 264.2 276.7 289.3 301.8 314.4 327.  339.6 352.2 364.8 377.5 390.1
 402.8 415.5 428.3 441.  453.8 466.6 479.4 492.3 505.1 518.1 531.  544.
 557.  570.  583.1 596.2]",[5.3],[17.1],[496.2],[84.74576271],[83.33333333],[83.33333333],[83.33333333],[81.96721311],[76.33587786],[0.02624581],[0.02385753],[0.00121812],[40],[80.61265619]
GrCWT_inj14.0.txt,14.0,"[109.1 127.4 145.8 164.3 182.8 201.5 220.2 239.  257.9 276.8 295.7 314.7
 333.8 352.9 372.  391.1 410.3 429.6 448.9 468.2 487.6 507.  526.5 546.1
 565.7 585.3]",[9.1],[27.4],[485.3],[54.64480874],[54.34782609],[54.05405405],[54.05405405],[53.47593583],[51.02040816],[0.02167958],[0.01880148],[0.0013127],[26],[53.57510818]
GrCWT_inj0.0.txt,0.0,,,,,,,,,,,,,,[0],
GrCWT_inj18.0.txt,18.0,"[106.1 119.5 132.9 146.4 160.  173.6 187.3 201.1 214.9 228.8 242.6 256.6
 270.5 284.5 298.5 312.5 326.6 340.7 354.7 368.9 383.  397.1 411.3 425.5
 439.8 454.  468.3 482.6 497.  511.3 525.7 540.2 554.7 569.2 583.8 598.4]",[6.1],[19.5],[498.4],[74.62686567],[74.62686567],[74.07407407],[73.52941176],[73.52941176],[68.49315068],[0.02480918],[0.02232349],[0.00122392],[36],[72.23113965]
GrCWT_inj4.0.txt,4.0,,,,,,,,,,,,,,[0],
